"code","display_name","brands","countries","categories","ingredients_text","nova_group","nutriscore_grade","ecoscore_grade","energy_kcal_100g","sugars_100g","salt_100g","game_ready","review_status","review_notes","source_dataset","selection_rationale"
"5034660021445","Bournville Cocoa","Cadbury","France,United Kingdom,United States","Beverages and beverages preparations,Beverages,Breakfasts,Cocoa and its products,Hot beverages,Beverage preparations,Cocoa and chocolate powders,Instant beverages,Cocoa powders,Instant chocolate powders","Cocoa powder, acidity regulator (sodium carbonate).","1","unknown","b","355.0","0.0","1.75","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0030000012000","Quick 1-Minute Oats","Quaker Oats","Canada,France,United States, World","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats","whole grain rolled oats,","1","a","b","","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5010029219494","Super smooth porridge imp","Ready break, Weetabix","France, United Kingdom, United States, en:ireland","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Porridge","wholegrain rolled oats (60%), wholegrain oat flour (38%), calcium, niacin, iron, riboflavin (b2), vitamin b6, thiamin (b1), folic acid, vitamin d, vitamin b12,","1","unknown","e","374.0","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0034000052004","COCOA","HERSHEY'S","Morocco, Spain, United States, Germany","Cocoa and its products,Cocoa and chocolate powders,Cocoa powders","cocoa","1","unknown","f","","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0898999000503","Coconut Water The Original","Vita Coco","Belgium, France, United Kingdom, United States, World, en:germany","Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based beverages, Coconut waters","Coconut Water 99%, Vitamin C","1","b","d","13.0","2.2","0.06","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0030000010204","OLD FASHIONED","QUAKER OATS","France,Germany,United States, World","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Rolled oats","whole grain rolled oats.","1","a","b","375.0","2.5","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0051500017005","Natural Creamy Peanut Butter","Smucker's","France,United States,World","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Nuts and their products,Plant-based spreads,Oilseed purees,Legume butters,Nut butters,Peanut butters","PEANUTS, CONTAINS 1% OR LESS OF SALT.","1","c","d","594.0","6.25","0.859","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0894700010137","Greek Yogurt Nonfat Plain","Chobani","United States","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts","_cultured nonfat milk_, S. Thermophilus, L. Bulgaricus, L. Acidophilus, Bifidus, L. Casei, L. Rhamnosus","1","a","b","52.9","3.53","0.0956","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0096619483556","organic GREEK YOGURT plain","KIRKLAND Signature","Mexico,Spain,United States,Francia","Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts","organic pasteurized grade a nonfat milk, live and active cultures (streptococcus thermophilus, lactobacillus bulgaricus, lactobacillus acidophilus, bifidus, lactobacillus casei).","1","a","b","58.8","2.35","0.0956","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5036589255550","Yoghurt","Yeo Valley","United States, en:united-kingdom","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Plain yogurts, Cow milk yogurts","milk","1","b","a-plus","72.0","4.9","0.12","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0096619885718","Extra Fancy Unsalted Mixed Nuts","Kirkland Signature","Canada,United States","Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Unsalted-mixed-nuts","Cashews, Almonds, Pistachios, Pecans, Highly refined peanut oil. May contain: Peanuts, Other tree nuts, Milk, Sesame, Soy, Wheat, Mustard, Sulfites.","1","d","unknown","600.0","7.05","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0078742040370","Purified Drinking Water","Great Value,Wal-Mart Stores Inc.","United States","Beverages,Waters,Unsweetened beverages,Drinking water","PURIFIED WATER, CALCIUM CHLORIDE SODIUM BICARBONATE.","1","b","not-applicable","0.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0096619756803","Water, Bottled","Kirkland Signature","United States,","Beverages, Waters, Unsweetened beverages","Purified Water, Potassium Bicarbonate, Sodium Bicarbonate, Calcium Citrate, Sodium Chloride, Magnesium Oxide","1","unknown","not-applicable","0.0","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0078742051451","Purified Water","Member's Mark","Spain,United States","Beverages,Waters,Unsweetened beverages","PURIFIED WATER, CALCIUM CHLORIDE, SODIUM BICARBONATE.","1","b","not-applicable","0.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0030000010402","Old Fashioned Oats","Quaker Oats","United States,World","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Seeds,Cereals and their products,Breakfast cereals,Cereal grains,Flakes,Cereal flakes,Rolled flakes,Rolled oats","whole grain rolled oats,","1","a","b","375.0","2.5","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
