"code","display_name","brands","countries","categories","ingredients_text","nova_group","nutriscore_grade","ecoscore_grade","energy_kcal_100g","sugars_100g","salt_100g","game_ready","review_status","review_notes","source_dataset"
"8858135002879","Lait de coco","Real Thai","France","Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Substituts de produits laitiers, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Crèmes végétales, Crèmes végétales pour cuisiner, Laits et crèmes de coco","Extrait de noix de coco (85%), eau.","1","e","b","185.0","2.0","0.05","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)"
"6191475200010","eau minérale naturelle","TIJEN WATER","Tunisie","Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Boissons sans sucre ajouté,Eaux minérales naturelles","EAU MINERALE NATURELLE.","1","a","not-applicable","","","0.0045","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)"
"3428271980031","Lait Bio Demi-Écrémé","lactel","France","Dairies, Milks, Homogenized milks, Semi-skimmed milks, UHT Milks, Cow milks, en:organic-semi-skimmed-milks","Lait demi-écrémé stérilisé UHT, issu de l'agriculture biologique, origine France.","1","b","b","46.0","4.8","0.1","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)"
"6111035001710","Ain atlas 33cl","Les Eaux Minérale D'Oulmès","Maroc","Boissons,Eaux,Eaux de sources,Eaux minérales","Eau minérale naturelle","1","a","not-applicable","","","0.12","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)"
"4025500186821","Kalinka Kefir","Müller","Frankreich,Deutschland,Luxemburg,Rumänien,Spanien","Băuturi,Produse lactate,en:Fermented milk products,en:Dairy drinks,Băuturi fermentate,en:Fermented milk drinks,Kefir","Fettarmer Kefir mild. 1,5% Fett. Enthält Milch","1","b","unknown","46.0","4.1","0.12","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)"
"00282123","Authentic Greek Yoghurt","Taste The Difference","United Kingdom","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Plain yogurts, Greek-style yogurts, Plain greek-style yogurts","Natural Greek Yogurt (Cows' _Milk_)","1","c","b","137.0","3.2","0.107","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)"
"4088600248752","Bite size wheat shreds","Harvest Morn, Aldi","en:gb","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Whole grain wheat cereal biscuits, Extruded cereals","whole grain wheat (100%)","1","a","e","367.0","0.667","0.0333","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)"
"8445291061132","HEPAR","hepar 75cl","France, en:belgium","fr:boissons, fr:eaux, fr:eaux-de-sources, eaux-minérales, eaux-minérales-naturelles, eau-minérale-naturelle-non-gazeuse","Eau minérale naturelle","1","a","not-applicable","0.0","0.0","0.00355","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)"
"5060069170033","Agave Nectar","the-groovy-food-company","United Kingdom","Plant-based foods and beverages, Plant-based foods, Sweeteners, Syrups, Simple syrups, Agave syrups","100% Organic Agave Nectar.","1","d","c","298.0","66.11","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)"
"3033491270864","Danone skyr 140 g x 2 nature","Danone, Danone of the world","France,Switzerland","Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Skyrs, Skyrs nature","LAIT écrémé, ferments lactiques (LAIT) LAIT : Origine France","1","a","a","57.0","3.9","0.09","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)"
