code,display_name,brands,nova_group,ingredients_text,game_ready,review_status
5034660021445,Bournville Cocoa,Cadbury,1,"Cocoa powder, acidity regulator (sodium carbonate).",false,pending
0030000012000,Quick 1-Minute Oats,Quaker Oats,1,"whole grain rolled oats,",false,pending
5010029219494,Super smooth porridge imp,"Ready break, Weetabix",1,"wholegrain rolled oats (60%), wholegrain oat flour (38%), calcium, niacin, iron, riboflavin (b2), vitamin b6, thiamin (b1), folic acid, vitamin d, vitamin b12,",false,pending
0034000052004,COCOA,HERSHEY'S,1,cocoa,false,pending
0898999000503,Coconut Water The Original,Vita Coco,1,"Coconut Water 99%, Vitamin C",false,pending
0030000010204,OLD FASHIONED,QUAKER OATS,1,whole grain rolled oats.,false,pending
0051500017005,Natural Creamy Peanut Butter,Smucker's,1,"PEANUTS, CONTAINS 1% OR LESS OF SALT.",false,pending
0894700010137,Greek Yogurt Nonfat Plain,Chobani,1,"_cultured nonfat milk_, S. Thermophilus, L. Bulgaricus, L. Acidophilus, Bifidus, L. Casei, L. Rhamnosus",false,pending
0096619483556,organic GREEK YOGURT plain,KIRKLAND Signature,1,"organic pasteurized grade a nonfat milk, live and active cultures (streptococcus thermophilus, lactobacillus bulgaricus, lactobacillus acidophilus, bifidus, lactobacillus casei).",false,pending
5036589255550,Yoghurt,Yeo Valley,1,milk,false,pending
0096619885718,Extra Fancy Unsalted Mixed Nuts,Kirkland Signature,1,"Cashews, Almonds, Pistachios, Pecans, Highly refined peanut oil. May contain: Peanuts, Other tree nuts, Milk, Sesame, Soy, Wheat, Mustard, Sulfites.",false,pending
0078742040370,Purified Drinking Water,"Great Value,Wal-Mart Stores Inc.",1,"PURIFIED WATER, CALCIUM CHLORIDE SODIUM BICARBONATE.",false,pending
0096619756803,"Water, Bottled",Kirkland Signature,1,"Purified Water, Potassium Bicarbonate, Sodium Bicarbonate, Calcium Citrate, Sodium Chloride, Magnesium Oxide",false,pending
0078742051451,Purified Water,Member's Mark,1,"PURIFIED WATER, CALCIUM CHLORIDE, SODIUM BICARBONATE.",false,pending
0030000010402,Old Fashioned Oats,Quaker Oats,1,"whole grain rolled oats,",false,pending
8997212610412,Organic Coconut Milk,Kara,1,organic coconut milk,false,pending
5059319013503,Plain Wheats,Kellogg's,1,Wholewheat(100%).,false,pending
00282123,Authentic Greek Yoghurt,Taste The Difference,1,Natural Greek Yogurt (Cows' _Milk_),false,pending
5000169647561,Chickpeas in water,"Essential Waitrose,Waitrose",1,"Chickpeas, water, antioxidant (ascorbic acid)",false,pending
4056489825623,Scottish Porridge Oats,Crownfield,1,wholegrain rolled oats,false,pending
5060132284308,Peanut Butter,Meridian,1,Roasted Peanuts,false,pending
5057753910822,Organic chickpeas in water,Tesco,1,"Organic Chickpeas, Water.",false,pending
5036589255598,Organic Natural Yoghurt,Yeo Valley,1,"Organic Milk, bifidobacterium live culture",false,pending
4056489462828,Simply porridge oats,Lidl,1,wholegrain rolled oats,false,pending
4056489458647,Cannellini Beans in Water,Freshona,1,"Cannellini Beans, Water",false,pending
5000232005915,Tuna,Princes,1,"tuna [fish], spring water.",false,pending
20942021,Mixed Beans,Lidl,1,"60% Mixed Beans in Varying Proportions (Cannellini Beans, Haricot Beans, Adzuki Beans), Water, Ascorbic Acid, Calcium Chloride",false,pending
29210053,Crafted Signature Sourdough Bread,Marks & Spencer,1,"Wheatflour contains Gluten (with Wheatflour, Calcium Carbonate Iron, Niacin, Thiamin) Water Rye Flour (contains Gluten) Wholegrain Wheatflour (contains Gluten) Malted Rye (contains Gluten) Sea Salt Malted Wheat (contains Gluten) Barley Malt Flour (contains Gluten) Barley Malt Extract (contains Gluten) Wheatflakes (contains Gluten).",false,pending
4061461867041,Crunchy 100% Peanut Butter,Grandessa,1,ROASTED PEANUTS (100%),false,pending
00852166,Greek Style Yogurt Unsweetened,M&S Food,1,lait fermenté (Contient lait),false,pending
8710532462482,100% peanut butter smooth,Millies,1,_Peanuts_ 100%.,false,pending
5099801000352,Flahavans Microwave Quick Porridge Oats,Flahavan's,1,100% Wholegrain Rolled _Oats_,false,pending
4088600550848,Tomato Passata,Cucina,1,"TOMATOES (99%), Acidity Regulator: Citric Acid.",false,pending
4056489620860,Crunchy Peanut Butter,Maribel,1,100% peanuts,false,pending
5000119560445,Italian Tomato Passata,Tesco,1,"Tomato, Acidity Regulator (Citric Acid).",false,pending
5201054017418,Fage Total 0% Yogurt,Fage,1,"Pasteurised skimmed milk, cultures (L. Bulgaricus, S. Thermophilus, L.Acidophilus, Bifidus, L. Casei)",false,pending
4056489367611,Coconut milk,Freshona,1,"coconut extract 50%, water",false,pending
0196633965912,Spring Water,Kirkland,1,"Calcium, Magnesium, Sodium, Potassium, Bicarbonates, Sulphates, Chlorides, Nitrates",false,pending
5449000034335,Smart Water,smartwater,1,"Vapour Distilled Spring Water, Electrolytes (Calcium Chloride, Magnesium Chloride, Potassium Bicarbonate)",false,pending
01898811,Greek Style Yogurt,Sainsbury's,1,Fat Free Greek Style Natural Yogurt (Cows' Milk),false,pending
5057753898397,Organic red kidney beans in water,Tesco,1,"Organic Red Kidney Beans, Water.",false,pending
5057545744765,Porridge Oats,Tesco - The Grower's Harvest,1,oat flakes,false,pending
20448554,Strong Wholemeal Bread Flour,Belbake,1,Wholemeal Wheat Flour.,false,pending
7613036077514,GOLD BLEND Instant Coffee,Nescafé,1,"soluble coffee, roast and ground coffee (3%)",false,pending
01642605,Chickpeas in water,Sainsbury's,1,"Organic Chickpeas, Water.",false,pending
5201054017432,5% Greek Yogurt,Fage,1,"Pasteurised skimmed milk, cream (milk), live active yoghurt cultures (L. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei).

no palm oil",false,pending
5000436101925,Lasagne Pasta,Tesco,1,Durum Wheat Semolina,false,pending
00378208,PORRIDGE OATS,"Daily's,STAMFORD STREET CO.",1,Wholegrain Oat Flakes,false,pending
5000108280941,Oat so Simple,"Quaker, Quaker Oats",1,Wholegrain rolled oats,false,pending
5054269711073,Cocoa Powder,Tesco,1,"cocoa powder, potassium carbonate",false,pending
0074305001161,APPLE CIDER VINEGAR,BRAGG,2,"ORGANIC APPLE CIDER VINEGAR, WATER.",false,pending
8901088000451,Parachnute 100% Pure Coconut Oil,Parachute,2,Coconut Oil,false,pending
6191509900664,Extra Virgin Olive Oil,Terra Delyssa,2,First Cold Pressed Extra Virgin Olive Oil,false,pending
6191509900671,Extra Virgin Olive Oil,Terra Delyssa,2,EXTRA VIRGIN OLIVE OIL,false,pending
0037600106740,Peanut Butter Spread,Skippy Natural Creamy,2,"ROASTED PEANUTS, SUGAR, PALM OIL, SALT.",false,pending
0096619555505,Organic Creamy Peanut Butter,Kirkland,2,"Dry roasted organic peanuts, sea salt",false,pending
0767707001067,Pure Irish Butter Salted,Kerrygold,2,"Pasteurized cream, salt.",false,pending
0074305001321,Apple Cider Vinegar,Bragg,2,"Certified Organic, Raw Apple Cider Vinegar and Purified Water",false,pending
0096619032938,Raw & Unfiltered Honey,Kirkland Signature,2,organic raw honey,false,pending
5011835101058,Smooth Peanut Butter imp,Whole earth,2,"roasted peanuts (96%), sustainable palm oil, sea salt",false,pending
5000157076427,Light Mayonnaise,Heinz,2,"Water, Rapeseed Oil 25%, Starch, Pasteurised Free Range Egg 3.5%, Spirit Vinegar, Sugar, Salt, Pasteurised Free Range Egg Yolk 1%, Lemon Juice Concentrate, Preservative (Potassium Sorbate), Mustard Seeds, Spice, Antioxidant (Calcium Disodium EDTA)",false,pending
50457014,Heinz Seriously Good Squeezy Mayonnaise,Heinz,2,"Rapeseed Oil (68%), Water, Pasteurised Free Range Egg Yolk (5%), Spirit Vinegar, Sugar, Starch, Salt, Mustard Seeds, Spices, Antioxidant (Calcium Disodium EDTA)",false,pending
5011273040209,Organic honey,Rowse,2,Organic honey.,false,pending
01292619,Basics Clear Honey,"Sainsbury's, Sainsbury's basics",2,honey 100%,false,pending
5013635101818,100% pure coconut oil,Ktc,2,"100% coconut oil,",false,pending
5000436449515,Organic Butter,Tesco,2,"Butter (_milk_), Salt (1.7%)",false,pending
5740900404496,Butter,Lurpak,2,"butter (milk), lactic culture (milk), salt,",false,pending
20436568,Clear Honey,"Highgate Fayre, Lidl",2,100% honey,false,pending
5051008878592,Organic Extra Virgin Olive Oil,Tesco,2,Extra Virgin Olive Oil,false,pending
5740900805408,Lurpak Spreadable Slightly Salted,Lurpak,2,"butter (64%) (milk), rapeseed oil, water, lactic culture (milk), salt, for allergens, see ingredients in bold,",false,pending
4088600313979,Nordpack Spreadable Butter,,2,"BUTTER 55% (_Milk_), Rapeseed Oil, RECONSTITUTED _BUTTERMILK_ 7%, Water, Lactic Cultures (_Milk_), Salt.",false,pending
5019989103096,Fine Sea Salt,Saxa,2,"Sea Salt, Anti-caking Agent (Sodium Hexacyanoferrate ll).",false,pending
5740900402768,Lupark Spreadable Lighter,Lurpak,2,"butter (40%) ( milk ), water, rapeseed oil, salt,",false,pending
5011273024759,Rowse organic honey,Rowse,2,Honey,false,pending
5010171005006,Spreadable Tub,Country Life,2,"Butter, Rapeseed Oil, Water, Salt",false,pending
5011038135126,Softer Butter,Kerrygold,2,"cream, salt (1.8%)",false,pending
5060336500044,Malt Vinegar,Sarson's,2,"barley malt vinegar, barley malt extract",false,pending
00351546,Salted English Butter,"Sainsbury's,by sainsbury's",2,"_Butter_ (cow's _milk_) (98%), Salt (1.6%)",false,pending
4088600313030,Honey,Grandessa,2,honey,false,pending
5060367180383,Smooth Peanut Butter,Pip & Nut,2,"_Peanuts_ (99.6%), sea salt.",false,pending
5011273040698,Runny Honey imp,Rowse,2,honey,false,pending
4088600020280,Squeezy Honey,GRANDESSA,2,honey,false,pending
4088600157887,Balsamic Vinegar of Modena,,2,"Wine Vinegar (Sulphites), Concentrated Grape Musc (Sulphites)",false,pending
5011273024650,Honey,Rowse,2,honey,false,pending
5060298572431,Blossom Honey,Hiltop Honey,2,Honey,false,pending
4056489091738,Mild olive oil,"Lidl,Primadonna",2,"Olive oil (refined olive oils, virgin olive oils).",false,pending
4061459381702,EXTRA VIRGIN OLIVE OIL,Solesta,2,olive oil,false,pending
5055534301180,Peanut butter,"Myprotein, My Protein",2,100%  peanuts  (whole skin on),false,pending
5000246728787,Yeo Valley Salted Butter,Yeo Valley,2,"Organic unsalted butter (milk), salt.",false,pending
3155250361825,President spreadable lightly salted,"Lactalis, Président",2,"Beurre, crème légère, sel (1.3% max), ferments lactiques.",false,pending
5000232919953,Napolina Extra Virgin Olive Oil 500Ml,Napolina,2,Extra Virgin Olive Oil,false,pending
4056489383444,Spreadable west contry butter,Lidl,2,"64% Butter (Milk), 26% Rapeseed Oil, Water, 0.9% Cornish Sea Salt, Salt.",false,pending
4056489307020,Clear Honey,Lidl,2,"honey,",false,pending
5010067301502,Granulated Sugar,Silver Spoon,2,Sugar,false,pending
01789621,Runny Honey,Sainsbury's,2,Pure Honey (100%).,false,pending
4088600233307,Clear Honey,Aldi,2,honey,false,pending
5031021679253,Extra Virgin Olive Oil,Tesco,2,Extra Virgin Olive Oil.,false,pending
4088600136318,West country Butter,"Specially Selected, Aldi",2,"Butter (Milk), SEA SALT (1.5%).",false,pending
5740900404571,Butter,Lupark,2,"butter (milk), rapeseed oil, water, lactic culture (milk)",false,pending
5052909732600,Squeezy Honey,Tesco,2,Honey,false,pending
5000171010025,Wild Pacific Red Salmon,John West,3,"red salmon 99 %, salt.",false,pending
8715700407760,Tomato Ketchup BIO,Heinz,3,"Tomates (180 g pour 100 g de Ketchup), sucre, vinaigre, sel, épices (contient céleri), poudre d'oignon, poudre d'ail,",false,pending
0028400199148,Classic,Lay's,3,"POTATOES, VEGETABLE OIL (CANOLA, CORN, SOYBEAN AND/OR SUNFLOWER OIL), AND SALT",false,pending
0879890000694,Multi-Grain Crackers 6-Seed,Crunchmaster,3,"brown rice flour, sesame seeds, potato starch, safflower oil, flax seeds, rice fiber, tamari soy sauce (soybeans, salt), quinoa seeds, amaranth seeds, millet, sea salt, chia seeds,",false,pending
5000436734345,Tesco Finest All Butter Croissant 4 Pack,Tesco,3,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin) Butter, Water, Sugar, Pasteurised Egg, Dried Skimmed Milk, Yeast, Salt, Inactive Wheat Sourdough, Acetoc Acid, Flour Treatment Agent (Ascorbic Acid), Lactic Acid.",false,pending
0051500255650,Peanut Butter Spread,Jif Natural,3,"PEANUTS, SUGAR, PALM OIL, SALT, MOLASSES",false,pending
0748404287947,Organic Quinoa & Brown Rice with Garlic,Seeds of Change,3,"WATER, WHOLE GRAIN BROWN RICE, BLEND OF WHOLE GRAIN QUINOA (WHOLE GRAIN RED QUINOA, WHOLE GRAIN BLACK QUINOA), SUNFLOWER OIL, SEA SALT, GARLIC POWDER, DEHYDRATED GARLIC, ONION POWDER, MINCED GARLIC, PARSLEY, BLACK PEPPER",false,pending
5010044006529,Old English Medium Sliced White Bread,Warburtons,3,"_Wheat_ Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Yeast, Liquid Concentrated Sponge Extract (Water, _Wheat_ Flour, Yeast), Vegetable Oil (Rapeseed, Sustainable Palm), Salt, Fermented _Wheat_ Flour, _Soya_ Flour, Flour Treatment Agent: Ascorbic Acid (Vitamin C).",false,pending
0078895126396,Premium Soy Sauce,Lee Kum Kee,3,"Water, Soybeans 17.5%, Salt, Sugar, Wheat Flour.",false,pending
0044000050986,Triscuit Cracker,"Mondelez, Nabisco-Triscuit",3,"whole grain wheat, canola oil, sea salt.",false,pending
8000320010118,Rosii Cirio Diced Tomatoes,"Cirio, Cirio La polpa rustica",3,"chopped tomatoes, tomato paste, salt, acidity regulator: citric acid,",false,pending
0850000547568,MINI FRUIT BARS,That's it.,3,"APPLES, STRAWBERRIES. 

APPLES, MANGOES. 

APPLES BLUEBERRIES",false,pending
0602652171864,Oats & Honey Granola with Toasted Coconut,KIND,3,"Oats, tapioca syrup, cane sugar, brown rice, honey, millet, oat flour, coconut, canola oil, buckwheat, amaranth, molasses, quinoa, brown rice syrup, sea salt, Vitamin E tocopherols",false,pending
0096619656493,Organic Tortilla Chips,Kirkland Signature,3,"Organic corn, organic vegetable oil (organic sunflower and/or organic canola oil), sea salt.",false,pending
0051500243213,PEANUT BUTTER SPREAD,Jif,3,"PEANUTS, SUGAR, PALM OIL, SALT, MOLASSES",false,pending
0855140002175,Ancient Grain Granola,Purely Elizabeth,3,"Organic Certified Gluten-Free Oats, Organic Coconut Sugar, Organic Coconut Oil, Organic Sunflower Seeds, Organic Puffed Amaranth, Organic Quinoa Flakes, Organic Chia Seeds, Organic Cinnamon, Sea Salt.",false,pending
0044000051693,original made with sea salt,triscuit,3,"WHOLE GRAIN WHEAT, CANOLA OIL, SEA SALT. CONTAINS: WHEAT",false,pending
0612322000202,Fruit & Seed Oatcakes,Nairn's,3,"Wholegrain _Oats_ (68%), Currants (12%) (Currants, Sunflower Oil), Brown Sugar, Sustainable Palm Fruit Oil, Brown Flaxseeds (6%), Raising Agent: Sodium Bicarbonate, Sea Salt.",false,pending
00414234,Tortilla chips,Trader Giotto's,3,Maize Flour Vegetable Oil (Sunflower/Rapeseed),false,pending
0030000169018,Lightly Salted Rice Cakes,Quaker,3,"Whole grain brown rice, salt",false,pending
4067796002003,Haferdrink Natur,DmBio,3,"Wasser, 11%Vollkornhafer, Sonnenblumenöl, Meersalz",false,pending
0058449770565,PUMPKIN SEED + FLAX GRANOLA,NATURE'S PATH ORGANIC,3,"Whole grain rolled oats*, cane sugar, soy oil*, brown rice flour pumpkin seeds, flax seeds* oat syrup solids* [oat syrup solids*, tocopherols (added to enhance freshness)], sea salt, molasses*, cinnamon*. *Organic. Contains soy. Produced in a facility that uses wheat, peanuts and tree nuts. VEGAN Contains 700 mg of ALA per serving, which is 44% of the 1.6 g Daily Value for ALA.",false,pending
0884912004710,THE ORIGINAL grape-nuts CEREAL,Post,3,"whole grain wheat flour, malted barley flour, salt, dried yeast, vitamins and minerals: reduced iron, niacinamide, zinc oxide (source of zinc), vitamin b6, thiamin mononitrate (vitamin b1), folic acid.",false,pending
7394376620157,Barista edition oat drink,Oatly!,3,"water, oats 10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin, b12),",false,pending
5060198820052,Peter's Yard Original Sourdough Crackers,Peter's Yard,3,"_Milk_, _rye_ flour, _wheat_ flour, sourdough 11.5% (_rye_ flour, water), _wholewheat_ flour, honey, salt, yeast.",false,pending
0898999010007,Coconut Water The Original,Vita Coco,3,"COCONUT WATER, SUGAR, ASCORBIC ACID (VITAMIN C)",false,pending
0856069005957,Almond Flour Crackers,Simple Mills,3,"Nut & Seed Flour Blend (almonds, sunflower seeds, flax seeds), Tapioca Starch, Cassava Flour, Organic Sunflower Oil, Sea Salt, Organic Onion, Organic Garlic, Rosemary Extract.",false,pending
0070303022160,Sardines in 100% Olive Oil,Season Brand,3,"Sardines (Fish), Olive Oil, Salt",false,pending
5011157888101,Pure Basmati Rice,Tilda,3,"basmati rice 98%, rice bran oil",false,pending
5011308000307,Pataks On the Side Lime Pickle,Patak's,3,"Limes (66%), Rapeseed Oil, Salt, Ground Spices (3%) [Spices, Paprika, MUSTARD), Acid (Acetic Acid), Cracked Yellow MUSTARD Seed (2%), Cracked Fenugreek Seed",false,pending
